Name,Year,Temp Anomaly
World,1880,-0.16666666666666666
World,1881,-0.0825
World,1882,-0.11
World,1883,-0.17416666666666666
World,1884,-0.27999999999999997
World,1885,-0.3283333333333333
World,1886,-0.3116666666666667
World,1887,-0.35833333333333334
World,1888,-0.17
World,1889,-0.10083333333333333
World,1890,-0.34833333333333333
World,1891,-0.22333333333333336
World,1892,-0.2725
World,1893,-0.31
World,1894,-0.2966666666666667
World,1895,-0.2225
World,1896,-0.10916666666666668
World,1897,-0.105
World,1898,-0.27416666666666667
World,1899,-0.17416666666666666
World,1900,-0.0775
World,1901,-0.15000000000000002
World,1902,-0.27
World,1903,-0.3641666666666667
World,1904,-0.4675
World,1905,-0.2608333333333333
World,1906,-0.2225
World,1907,-0.385
World,1908,-0.4266666666666667
World,1909,-0.4841666666666667
World,1910,-0.43166666666666664
World,1911,-0.44
World,1912,-0.36000000000000004
World,1913,-0.3441666666666667
World,1914,-0.15
World,1915,-0.14166666666666666
World,1916,-0.3566666666666667
World,1917,-0.46
World,1918,-0.29416666666666663
World,1919,-0.2758333333333333
World,1920,-0.2708333333333333
World,1921,-0.18583333333333332
World,1922,-0.2816666666666667
World,1923,-0.26166666666666666
World,1924,-0.2708333333333333
World,1925,-0.21833333333333335
World,1926,-0.10583333333333333
World,1927,-0.21583333333333332
World,1928,-0.1975
World,1929,-0.3575
World,1930,-0.155
World,1931,-0.09000000000000001
World,1932,-0.15166666666666667
World,1933,-0.28250000000000003
World,1934,-0.12333333333333334
World,1935,-0.19499999999999998
World,1936,-0.14416666666666667
World,1937,-0.025833333333333337
World,1938,-1.1564823173178713e-18
World,1939,-0.015833333333333335
World,1940,0.12833333333333333
World,1941,0.18666666666666668
World,1942,0.06916666666666667
World,1943,0.09083333333333334
World,1944,0.205
World,1945,0.09166666666666667
World,1946,-0.07083333333333335
World,1947,-0.025833333333333333
World,1948,-0.105
World,1949,-0.10833333333333334
World,1950,-0.1725
World,1951,-0.06833333333333334
World,1952,0.011666666666666667
World,1953,0.08
World,1954,-0.13166666666666668
World,1955,-0.14083333333333334
World,1956,-0.18999999999999997
World,1957,0.04833333333333333
World,1958,0.06083333333333333
World,1959,0.030833333333333334
World,1960,-0.024999999999999994
World,1961,0.057499999999999996
World,1962,0.030833333333333334
World,1963,0.05499999999999999
World,1964,-0.19916666666666663
World,1965,-0.10666666666666667
World,1966,-0.0575
World,1967,-0.023333333333333334
World,1968,-0.08333333333333333
World,1969,0.051666666666666666
World,1970,0.025833333333333333
World,1971,-0.0825
World,1972,0.008333333333333335
World,1973,0.16166666666666665
World,1974,-0.06999999999999999
World,1975,-0.012500000000000002
World,1976,-0.09833333333333333
World,1977,0.1775
World,1978,0.06833333333333334
World,1979,0.165
World,1980,0.2558333333333333
World,1981,0.32166666666666666
World,1982,0.13749999999999998
World,1983,0.3125
World,1984,0.15666666666666668
World,1985,0.11666666666666668
World,1986,0.18000000000000002
World,1987,0.32
World,1988,0.38666666666666666
World,1989,0.2725
World,1990,0.4466666666666667
World,1991,0.4033333333333333
World,1992,0.22083333333333333
World,1993,0.23083333333333333
World,1994,0.31416666666666665
World,1995,0.4466666666666667
World,1996,0.325
World,1997,0.46249999999999997
World,1998,0.6066666666666667
World,1999,0.38083333333333336
World,2000,0.3941666666666667
World,2001,0.5358333333333333
World,2002,0.6266666666666667
World,2003,0.6166666666666667
World,2004,0.5316666666666666
World,2005,0.6749999999999999
World,2006,0.6366666666666666
World,2007,0.6625
World,2008,0.5416666666666666
World,2009,0.6533333333333333
World,2010,0.7208333333333333
World,2011,0.6075
World,2012,0.645
World,2013,0.6741666666666667
World,2014,0.7433333333333333
World,2015,0.895
World,2016,1.0125
World,2017,0.9183333333333333
World,2018,0.8450000000000001
World,2019,0.9766666666666667
World,2020,1.0175
World,2021,0.8441666666666667
World,2022,0.8916666666666666
World,2023,0.915
